Record ID,City,State,Victim Sex,Victim Age,Perpetrator Sex, Perpetrator Age,Relationship,Weapon Used
64328,Roanoke,Virginia,Female,73,Male,7,Stranger,Fire
70237,Pinellas,Florida,Female,1,Male,7,Friend,Unknown
78185,New York,New York,Male,2,Male,7,Friend,Blunt Object
83479,Bexar,Texas,Female,12,Male,7,Sister,Firearm
108935,Pottawattamie,Iowa,Male,10,Male,7,Neighbor,Rifle
113299,Bergen,New Jersey,Female,77,Male,7,Unknown,Fire
116204,Oklahoma,Oklahoma,Male,11,Male,7,Neighbor,Rifle
125068,Solano,California,Male,11,Male,7,Friend,Handgun
126152,Dade,Florida,Female,1,Male,7,Sister,Blunt Object
138262,Harris,Texas,Female,1,Male,7,Neighbor,Blunt Object
147701,Fulton,Georgia,Male,7,Male,7,Friend,Handgun
148564,Jefferson,Kentucky,Male,7,Male,7,Acquaintance,Handgun
148565,Jefferson,Kentucky,Male,7,Male,7,Acquaintance,Handgun
149333,Baltimore city,Maryland,Male,7,Male,7,Family,Rifle
151549,Davie,North Carolina,Male,46,Male,7,Father,Handgun
153424,New York,New York,Male,25,Female,7,Unknown,Handgun
157941,Wichita,Texas,Male,10,Female,7,Acquaintance,Handgun
159044,Tazewell,Virginia,Male,11,Male,7,Brother,Rifle
182755,San Joaquin,California,Male,12,Female,7,Brother,Shotgun
215187,Aiken,South Carolina,Female,6,Male,7,Family,Handgun
220534,Gila,Arizona,Female,0,Male,7,Family,Blunt Object
228767,Caddo,Louisiana,Female,13,Male,7,Sister,Handgun
241986,Snohomish,Washington,Female,6,Male,7,Sister,Fire
277185,Orleans,Louisiana,Male,0,Female,7,Family,Blunt Object
345195,Wayne,Michigan,Male,48,Male,7,Family,Knife
345703,Jackson,Missouri,Female,0,Male,7,Acquaintance,Blunt Object
354731,Maricopa,Arizona,Female,6,Male,7,Sister,Handgun
358148,New Haven,Connecticut,Female,56,Male,7,Stranger,Fire
359170,Manatee,Florida,Female,1,Male,7,Unknown,Blunt Object
364499,Catawba,North Carolina,Female,6,Male,7,Sister,Handgun
364787,Lenoir,North Carolina,Female,1,Female,7,Family,Shotgun
365054,Wake,North Carolina,Male,0,Male,7,Acquaintance,Blunt Object
367279,Cleveland,Oklahoma,Female,77,Male,7,Family,Handgun
371131,Suffolk,Virginia,Male,3,Female,7,Family,Blunt Object
377604,Cook,Illinois,Female,11,Male,7,Stranger,Blunt Object
387854,Juneau,Alaska,Male,4,Male,7,Family,Rifle
399250,Philadelphia,Pennsylvania,Male,7,Male,7,Friend,Handgun
410820,Craven,North Carolina,Female,1,Male,7,Acquaintance,Blunt Object
428661,Cuyahoga,Ohio,Female,3,Male,7,Family,Handgun
453487,Dade,Florida,Male,78,Male,7,Unknown,Blunt Object
455704,Johnson,Indiana,Male,0,Male,7,Family,Blunt Object
466060,Pope,Arkansas,Male,28,Male,7,Family,Handgun
478369,Luzerne,Pennsylvania,Male,75,Male,7,Neighbor,Fire
545904,Allegheny,Pennsylvania,Female,0,Female,7,Unknown,Blunt Object
595520,Orange,Florida,Male,15,Male,7,Unknown,Firearm
